Date,High,Low,Close,DayNumber,Month_Number,DayMonth,Year,FFT_Mag_High_500,FFT_Angl_High_500,FFT_Mag_Low_500,FFT_Angl_Low_500
2001-01-09,27.75,26.899999618530273,27.71999931335449,1,100,9,2001,27.75,-5.774662721872564e-19,26.899999618530266,0.0
2001-01-10,29.60000038146973,27.70000076293945,29.5,2,100,10,2001,29.600000381469727,0.0,27.700000762939446,0.0
2001-01-11,29.899999618530273,28.979999542236328,29.5,3,100,11,2001,29.899999618530273,0.0,28.979999542236328,0.0
2001-01-12,30.20000076293945,29.3700008392334,30.04999923706055,4,100,12,2001,30.200000762939453,1.6338822613358478e-18,29.3700008392334,-2.407541559051244e-18
2001-01-16,30.45000076293945,29.85000038146973,30.35000038146973,1,100,16,2001,30.45000076293945,-3.6460525346731803e-19,29.850000381469727,2.704123920170219e-18
2001-01-17,30.20000076293945,29.0,29.649999618530273,2,100,17,2001,30.20000076293945,0.0,29.0,0.0
2001-01-18,30.51000022888184,29.29999923706055,30.45000076293945,3,100,18,2001,30.510000228881836,-3.7905024865358885e-20,29.299999237060547,-1.578815491373907e-18
2001-01-19,32.400001525878906,30.20000076293945,32.09999847412109,4,100,19,2001,32.400001525878906,0.0,30.200000762939442,0.0
2001-01-22,32.700000762939446,31.75,32.0,0,100,22,2001,32.700000762939446,1.7780625384542825e-18,31.750000000000004,-1.24803473165026e-18
2001-01-23,29.68000030517578,29.0,29.56999969482422,1,100,23,2001,29.680000305175778,2.8842116804649415e-18,29.0,-1.7843898400920734e-18
2001-01-24,29.81999969482422,28.63999938964844,29.04999923706055,2,100,24,2001,29.81999969482422,0.0,28.639999389648438,0.0
2001-01-25,29.53000068664551,28.79999923706055,29.36000061035156,3,100,25,2001,29.530000686645508,0.0,28.79999923706055,0.0
2001-01-26,29.989999771118164,29.31999969482422,29.78000068664551,4,100,26,2001,29.989999771118164,-2.6293520336274086e-18,29.31999969482422,2.103651349440766e-18
2001-01-29,30.149999618530273,28.86000061035156,29.059999465942386,0,100,29,2001,30.149999618530273,0.0,28.86000061035155,0.0
2001-01-30,29.34000015258789,28.68000030517578,29.059999465942386,1,100,30,2001,29.34000015258789,4.301961676775278e-18,28.68000030517578,-2.002918373813757e-18
2001-01-31,29.149999618530273,28.25,28.70000076293945,2,100,31,2001,29.149999618530277,1.96475491438277e-18,28.25,-6.052137780980836e-18
2001-02-01,29.8700008392334,28.53000068664551,29.79999923706055,3,200,1,2001,29.870000839233406,-1.0635816352613378e-18,28.530000686645504,-2.081080937165814e-18
2001-02-02,31.29999923706055,29.649999618530273,31.25,4,200,2,2001,31.299999237060547,0.0,29.649999618530277,0.0
2001-02-05,31.04999923706055,30.20000076293945,30.5,0,200,5,2001,31.049999237060547,-2.3837317271171256e-18,30.200000762939446,-3.069028027589437e-18
2001-02-06,30.899999618530273,30.15999984741211,30.35000038146973,1,200,6,2001,30.899999618530273,-1.7502684239906127e-18,30.15999984741211,2.821904992734922e-19
2001-02-07,31.35000038146973,30.0,31.20000076293945,2,200,7,2001,31.350000381469727,2.1303504647978946e-18,30.0,2.135667899238895e-18
2001-02-08,31.8799991607666,31.1200008392334,31.559999465942386,3,200,8,2001,31.8799991607666,9.489084461565457e-18,31.1200008392334,4.718792976993804e-18
2001-02-09,31.399999618530273,30.85000038146973,31.04999923706055,4,200,9,2001,31.399999618530277,1.9729349497878705e-18,30.85000038146973,-5.248322862361542e-18
2001-02-12,31.04999923706055,30.399999618530273,30.54999923706055,0,200,12,2001,31.049999237060554,0.0,30.399999618530266,0.0
